Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
3925,20191207:0800,17.9,24,14.2,24,13.8,24,16.1,-,24,D
3925,20191208:0800,20.1,24,10.3,24,8.8,24,15.2,-,24,D
3925,20191209:0800,16.2,24,6.8,24,3.8,24,11.5,-,24,D
3925,20191210:0800,18.7,24,4.2,24,0.8,24,11.5,-,24,D
3925,20191211:0800,22.3,24,8.7,24,7,24,15.5,-,24,D
3925,20191212:0800,25.1,24,8.3,24,5.2,24,16.7,-,24,D
3925,20191213:0800,27.5,24,9.1,24,6.1,24,18.3,-,24,D
3925,20191214:0800,20.7,24,7.3,24,4.6,24,14,-,24,D
3925,20191215:0800,19,24,5.2,24,2.5,24,12.1,-,24,D
3925,20191216:0800,18.3,24,12,24,12.5,24,15.2,-,24,D
3925,20191217:0800,18,24,13.2,24,13.8,24,15.6,-,24,D
3925,20191218:0800,19.2,24,8.3,24,8.6,24,13.8,-,24,D
3925,20191219:0800,20.6,24,8.3,24,7,24,14.5,-,24,D
3925,20191220:0800,16.8,24,9.8,24,10.5,24,13.3,-,24,D
3925,20191221:0800,14.2,24,4.4,24,2.5,24,9.3,-,24,D
3925,20191222:0800,19.6,24,8.2,24,6.9,24,13.9,-,24,D
3925,20191223:0800,23,24,8.9,24,7.1,24,16,-,24,D
3925,20191224:0800,24.7,24,8.6,24,6.1,24,16.7,-,24,D
3925,20191225:0800,22,24,11.4,24,11.3,24,16.7,-,24,D
3925,20191226:0800,22.6,24,8.5,24,6.1,24,15.6,-,24,D
3925,20191227:0800,22.7,24,9.6,24,6.3,24,16.2,-,24,D
3925,20191228:0800,19.4,24,7.2,24,4.6,24,13.3,-,24,D
3925,20191229:0800,17.5,24,9.4,24,8.6,24,13.5,-,24,D
3925,20191230:0800,20.7,24,10.4,24,9.5,24,15.6,-,24,D
3925,20191231:0800,23.8,24,12.9,24,11.8,24,18.4,-,24,D
3925,20200101:0800,24.2,24,9.8,24,7.2,24,17,-,24,D
3925,20200102:0800,23.8,24,10.5,24,8.5,24,17.2,-,24,D
3925,20200103:0800,24.2,24,12.3,24,8.5,24,18.3,-,24,D
3925,20200104:0800,20.2,24,9,24,7.4,24,14.6,-,24,D
3925,20200105:0800,17.5,24,8,24,5,24,12.8,-,24,D
3925,20200106:0800,17.3,24,8.2,24,5.9,24,12.8,-,24,D
3925,20200107:0800,14.7,24,8,24,7.9,24,11.4,-,24,D
3925,20200108:0800,20.5,24,7.5,24,5.7,24,14,-,24,D
3925,20200109:0800,17.7,24,6.9,24,4.1,24,12.3,-,24,D
3925,20200110:0800,20,24,7.9,24,4.1,24,14,-,24,D
3925,20200111:0800,21,24,6.4,24,3.5,24,13.7,-,24,D
3925,20200112:0800,22.6,24,10.7,24,13.8,24,16.7,-,24,D
3925,20200113:0800,18.6,24,9.1,24,7.1,24,13.9,-,24,D
3925,20200114:0800,22,24,6.9,24,4.1,24,14.5,-,24,D
3925,20200115:0800,24.8,24,10,24,7.9,24,17.4,-,24,D
3925,20200116:0800,25.1,24,11.1,24,8.6,24,18.1,-,24,D
3925,20200117:0800,26.5,24,10.3,24,8.3,24,18.4,-,24,D
3925,20200118:0800,26.8,24,12.8,24,12.6,24,19.8,-,24,D
3925,20200119:0800,25.7,24,11.2,24,8.2,24,18.5,-,24,D
3925,20200120:0800,28.7,24,13.7,24,12.8,24,21.2,-,24,D
3925,20200121:0800,29.2,24,12.6,24,11.5,24,20.9,-,24,D
3925,20200122:0800,27.7,24,13.6,24,12.3,24,20.7,-,24,D
3925,20200123:0800,25.6,24,12.9,24,10.2,24,19.3,-,24,D
3925,20200124:0800,28.5,24,15.6,24,12.7,24,22.1,-,24,D
3925,20200125:0800,29.3,24,14.6,24,12.5,24,22,-,24,D
3925,20200126:0800,26.8,24,13.4,24,11.6,24,20.1,-,24,D
3925,20200127:0800,28.6,24,16.8,24,16.9,24,22.7,-,24,D
3925,20200128:0800,26.7,24,16.6,24,16.4,24,21.7,-,24,D
3925,20200129:0800,29.3,24,15.7,24,15.6,24,22.5,-,24,D
3925,20200130:0800,22.6,24,12.2,24,10.3,24,17.4,-,24,D
3925,20200131:0800,23,24,11.9,24,9.8,24,17.5,-,24,D
3925,20200201:0800,25.2,24,9,24,7.8,24,17.1,-,24,D
3925,20200202:0800,24.7,24,13.2,24,13.7,24,19,-,24,D
3925,20200203:0800,22.8,24,16,24,13.9,24,19.4,-,24,D
3925,20200204:0800,27,24,18.2,24,17.3,24,22.6,-,24,D
3925,20200205:0800,22.2,24,11.9,24,11.9,24,17.1,-,24,D
3925,20200206:0800,18.7,24,10.2,24,9,24,14.5,-,24,D
3925,20200207:0800,20.9,24,8.6,24,5.9,24,14.8,-,24,D
3925,20200208:0800,21.4,24,11.8,24,11.5,24,16.6,-,24,D
3925,20200209:0800,18.3,24,4.7,24,1.9,24,11.5,-,24,D
3925,20200210:0800,22.6,24,7.4,24,7.3,24,15,-,24,D
3925,20200211:0800,26.7,24,11.7,24,10.4,24,19.2,-,24,D
3925,20200212:0800,26.6,24,11.6,24,8.5,24,19.1,-,24,D
3925,20200213:0800,24.9,24,13.2,24,11.1,24,19.1,-,24,D
3925,20200214:0800,24.6,24,10.3,24,8.4,24,17.5,-,24,D
3925,20200215:0800,27.5,24,12.9,24,11.1,24,20.2,-,24,D
3925,20200216:0800,27.2,24,14.2,24,14.6,24,20.7,-,24,D
3925,20200217:0800,21.1,24,16.3,24,16,24,18.7,-,24,D
3925,20200218:0800,23,24,17.5,24,17.4,24,20.3,-,24,D
3925,20200219:0800,25.3,24,14,24,13.1,24,19.7,-,24,D
3925,20200220:0800,25.2,24,10.7,24,8.1,24,18,-,24,D
3925,20200221:0800,25.2,24,12.8,24,10.5,24,19,-,24,D
3925,20200222:0800,22.9,24,13.2,24,13.4,24,18.1,-,24,D
3925,20200223:0800,19.2,24,6.4,24,4.6,24,12.8,-,24,D
3925,20200224:0800,22.5,24,7.9,24,5.7,24,15.2,-,24,D
3925,20200225:0800,23,24,10.5,24,7.6,24,16.8,-,24,D
3925,20200226:0800,24.5,24,10.4,24,7.4,24,17.5,-,24,D
3925,20200227:0800,26.8,24,11,24,8.1,24,18.9,-,24,D
3925,20200228:0800,22.6,24,13.8,24,13.4,24,18.2,-,24,D
3925,20200229:0800,20.9,24,13.7,24,13.2,24,17.3,-,24,D
3925,20200301:0800,20.9,24,6,24,4.6,24,13.5,-,24,D
3925,20200302:0800,24.7,24,7.8,24,10.5,24,16.3,-,24,D
3925,20200303:0800,25.9,24,13.4,24,14.9,24,19.7,-,24,D
3925,20200304:0800,22.3,24,11.4,24,9.6,24,16.9,-,24,D
3925,20200305:0800,20.4,24,11.1,24,10.2,24,15.8,-,24,D
3925,20200306:0800,23.5,24,6.1,24,3.5,24,14.8,-,24,D
3925,20200307:0800,23.9,24,7.8,24,6,24,15.9,-,24,D
3925,20200308:0800,22.3,24,9.8,24,10,24,16.1,-,24,D
3925,20200309:0800,21.4,24,13.9,24,13.5,24,17.7,-,24,D
3925,20200310:0800,23.2,24,12.7,24,10.3,24,18,-,24,D
3925,20200311:0800,22.6,24,12.1,24,11.4,24,17.4,-,24,D
3925,20200312:0800,23.8,24,12.1,24,11,24,18,-,24,D
3925,20200313:0800,23.4,24,11.2,24,8.4,24,17.3,-,24,D
3925,20200314:0800,22.8,24,9.4,24,6.6,24,16.1,-,24,D
3925,20200315:0800,23.2,24,7.8,24,4.4,24,15.5,-,24,D
3925,20200316:0800,20.8,24,9.3,24,6.8,24,15.1,-,24,D
3925,20200317:0800,21.9,24,5.5,24,0.6,24,13.7,-,24,D
3925,20200318:0800,20.9,24,3.4,24,1.5,24,12.2,-,24,D
3925,20200319:0800,21.2,24,6.2,24,5.3,24,13.7,-,24,D
3925,20200320:0800,19.2,24,10.5,24,7.1,24,14.9,-,24,D
3925,20200321:0800,20.7,24,9.1,24,6,24,14.9,-,24,D
3925,20200322:0800,17.3,24,10.2,24,8.6,24,13.8,-,24,D
3925,20200323:0800,21.2,24,11,24,10,24,16.1,-,24,D
3925,20200324:0800,17.9,24,3.6,24,0.7,24,10.8,-,24,D
3925,20200325:0800,12.8,24,6.5,24,8.4,24,9.7,-,24,D
3925,20200326:0800,16.8,24,9.2,24,8.6,24,13,-,24,D
3925,20200327:0800,18.7,24,6.9,24,4.6,24,12.8,-,24,D
3925,20200328:0800,16.4,24,3.1,24,0.1,24,9.8,-,24,D
3925,20200329:0800,18.8,24,4.6,24,1.7,24,11.7,-,24,D
3925,20200330:0800,16.7,24,5.7,24,3.4,24,11.2,-,24,D
3925,20200331:0800,22.2,24,5.9,24,4.1,24,14.1,-,24,D
3925,20200401:0800,21,24,4.2,24,2.3,24,12.6,-,24,D
3925,20200402:0800,21.6,24,3.4,24,0.4,24,12.5,-,24,D
3925,20200403:0800,22.7,24,4.7,24,6,24,13.7,-,24,D
3925,20200404:0800,21.3,24,6.2,24,3,24,13.8,-,24,D
3925,20200405:0900,23.2,24,5.7,24,3,24,14.5,-,24,D
3925,20200406:0900,22,24,10,24,9.4,24,16,-,24,D
3925,20200407:0900,19.4,24,12.1,24,12.3,24,15.8,-,24,D
3925,20200408:0900,18.6,24,9.1,24,7,24,13.9,-,24,D
3925,20200409:0900,15.1,24,6.5,24,5.3,24,10.8,-,24,D
3925,20200410:0900,15.9,24,1,24,-1.1,24,8.5,-,24,D
3925,20200411:0900,19.8,24,4.5,24,4.4,24,12.2,-,24,D
3925,20200412:0900,17.1,24,9.4,24,10.9,24,13.3,-,24,D
3925,20200413:0900,18.5,24,9.6,24,8.2,24,14.1,-,24,D
3925,20200414:0900,12,24,1.6,24,-0.8,24,6.8,-,24,D
3925,20200415:0900,13.3,24,2,24,1.2,24,7.7,-,24,D
3925,20200416:0900,11.8,24,3.3,24,5.3,24,7.6,-,24,D
3925,20200417:0900,15.7,24,7.3,24,6.2,24,11.5,-,24,D
3925,20200418:0900,14.4,24,9,24,9.7,24,11.7,-,24,D
3925,20200419:0900,16.4,24,8.3,24,6.9,24,12.4,-,24,D
3925,20200420:0900,13.6,24,7.8,24,6.2,24,10.7,-,24,D
3925,20200421:0900,13.8,24,3.5,24,1.9,24,8.7,-,24,D
3925,20200422:0900,14.6,24,4.5,24,3.6,24,9.6,-,24,D
3925,20200423:0900,17.9,24,8.1,24,7,24,13,-,24,D
3925,20200424:0900,13.4,24,7.5,24,4.1,24,10.5,-,24,D
3925,20200425:0900,17.4,24,5.5,24,2.9,24,11.5,-,24,D
3925,20200426:0900,14.3,24,4.9,24,2,24,9.6,-,24,D
3925,20200427:0900,16,24,6.4,24,4.1,24,11.2,-,24,D
3925,20200428:0900,16.1,24,6.9,24,4.7,24,11.5,-,24,D
3925,20200429:0900,16.7,24,2.4,24,0.8,24,9.6,-,24,D
3925,20200430:0900,15.2,24,1.5,24,-0.6,24,8.4,-,24,D
3925,20200501:0900,15.7,24,2.6,24,4.7,24,9.2,-,24,D
3925,20200502:0900,17.4,24,8.2,24,7.1,24,12.8,-,24,D
3925,20200503:0900,16.7,24,10.2,24,10.9,24,13.5,-,24,D
3925,20200504:0900,18.8,24,9,24,8.3,24,13.9,-,24,D
3925,20200505:0900,12.5,24,7.7,24,8.1,24,10.1,-,24,D
3925,20200506:0900,10.9,24,-1.2,24,-3,24,4.9,-,24,D
3925,20200507:0900,12.9,24,-0.3,24,1.5,24,6.3,-,24,D
3925,20200508:0900,12.7,24,6,24,8,24,9.4,-,24,D
3925,20200509:0900,17.2,24,3.9,24,1.5,24,10.6,-,24,D
3925,20200510:0900,12.9,24,5.6,24,3.3,24,9.3,-,24,D
3925,20200511:0900,12.8,24,6.7,24,3.9,24,9.8,-,24,D
3925,20200512:0900,13.6,24,9.1,24,10.2,24,11.4,-,24,D
3925,20200513:0900,16.2,24,6.8,24,5.3,24,11.5,-,24,D
3925,20200514:0900,14.6,24,7.6,24,6.7,24,11.1,-,24,D
3925,20200515:0900,15.8,24,5.2,24,2.2,24,10.5,-,24,D
3925,20200516:0900,15.6,24,5.2,24,3.8,24,10.4,-,24,D
3925,20200517:0900,13.1,24,3,24,0.3,24,8.1,-,24,D
3925,20200518:0900,13.6,24,0.5,24,-1.2,24,7.1,-,24,D
3925,20200519:0900,13.4,24,1.4,24,0.2,24,7.4,-,24,D
3925,20200520:0900,13.7,24,1.8,24,0,24,7.8,-,24,D
3925,20200521:0900,14.5,24,0,24,-1.9,24,7.3,-,24,D
3925,20200522:0900,11.7,24,1.9,24,-1.3,24,6.8,-,24,D
3925,20200523:0900,14.4,24,2.7,24,0.5,24,8.6,-,24,D
3925,20200524:0900,11.1,24,3.5,24,3,24,7.3,-,24,D
3925,20200525:0900,9.4,24,4,24,5.3,24,6.7,-,24,D
3925,20200526:0900,13.8,24,4.8,24,1.8,24,9.3,-,24,D
3925,20200527:0900,16.7,24,-0.9,24,-2.8,24,7.9,-,24,D
3925,20200528:0900,12.6,24,0,24,-1.6,24,6.3,-,24,D
3925,20200529:0900,12.7,24,-0.1,24,-2.4,24,6.3,-,24,D
3925,20200530:0900,9.1,24,1.8,24,0.2,24,5.5,-,24,D
3925,20200531:0900,13.5,24,-0.1,24,-2.3,24,6.7,-,24,D
3925,20200601:0900,12.1,24,0.2,24,-1.3,24,6.2,-,24,D
3925,20200602:0900,14.2,24,0.5,24,-1.1,24,7.4,-,24,D
3925,20200603:0900,14.1,24,0.7,24,-0.1,24,7.4,-,24,D
3925,20200604:0900,11.7,24,5,24,7,24,8.4,-,24,D
3925,20200605:0900,11.9,24,2.7,24,0.4,24,7.3,-,24,D
3925,20200606:0900,14.3,24,2.7,24,2.4,24,8.5,-,24,D
3925,20200607:0900,10.2,24,2,24,0,24,6.1,-,24,D
3925,20200608:0900,8.8,24,2.1,24,0.6,24,5.5,-,24,D
3925,20200609:0900,10.5,24,3.8,24,3.2,24,7.2,-,24,D
3925,20200610:0900,12.4,24,5.2,24,1.6,24,8.8,-,24,D
3925,20200611:0900,14.3,24,4.6,24,4.6,24,9.5,-,24,D
3925,20200612:0900,13,24,5.2,24,6.7,24,9.1,-,24,D
3925,20200613:0900,12.1,24,0.1,24,-0.8,24,6.1,-,24,D
3925,20200614:0900,10.5,24,0.2,24,-1.3,24,5.4,-,24,D
3925,20200615:0900,6.2,24,1.1,24,0,24,3.7,-,24,D
3925,20200616:0900,15.1,24,3.1,24,4.7,24,9.1,-,24,D
3925,20200617:0900,15.1,24,9.8,24,8.8,24,12.5,-,24,D
3925,20200618:0900,17.3,24,7.8,24,8.7,24,12.6,-,24,D
3925,20200619:0900,11.6,24,7.1,24,6.4,24,9.4,-,24,D
3925,20200620:0900,12.6,24,0.8,24,-0.8,24,6.7,-,24,D
3925,20200621:0900,15.3,24,-1.1,24,-2.3,24,7.1,-,24,D
3925,20200622:0900,13.1,24,0.3,24,-1.2,24,6.7,-,24,D
3925,20200623:0900,13.2,24,0.7,24,-0.5,24,7,-,24,D
3925,20200624:0900,13.6,24,1.3,24,-0.5,24,7.5,-,24,D
3925,20200625:0900,12.8,24,-1.8,24,-4.4,24,5.5,-,24,D
3925,20200626:0900,16.2,24,-1.3,24,-2.1,24,7.5,-,24,D
3925,20200627:0900,14.8,24,1.9,24,1.7,24,8.4,-,24,D
3925,20200628:0900,16.7,24,6.4,24,6,24,11.6,-,24,D
3925,20200629:0900,14.5,24,3.6,24,2.6,24,9.1,-,24,D
3925,20200630:0900,10.2,24,1,24,0.4,24,5.6,-,24,D
3925,20200701:0900,11.4,24,-4.7,24,-6.4,24,3.4,-,24,D
3925,20200702:0900,10.3,24,-4.6,24,-7.4,24,2.9,-,24,D
3925,20200703:0900,12.6,24,-5.6,24,-8,24,3.5,-,24,D
3925,20200704:0900,10.8,24,-5,24,-6.2,24,2.9,-,24,D
3925,20200705:0900,10.7,24,3.2,24,4.1,24,7,-,24,D
3925,20200706:0900,11.8,24,7.5,24,8,24,9.7,-,24,D
3925,20200707:0900,14.1,24,-0.5,24,-2.3,24,6.8,-,24,D
3925,20200708:0900,8.7,24,1.8,24,0.9,24,5.3,-,24,D
3925,20200709:0900,9.4,24,-3.2,24,-5,24,3.1,-,24,D
3925,20200710:0900,8.8,24,-3.5,24,-5.6,24,2.7,-,24,D
3925,20200711:0900,9.8,24,-2.6,24,-2.2,24,3.6,-,24,D
3925,20200712:0900,9.2,24,2.4,24,0.6,24,5.8,-,24,D
3925,20200713:0900,12.5,24,4.5,24,3.6,24,8.5,-,24,D
3925,20200714:0900,13.5,24,2.8,24,-1.4,24,8.2,-,24,D
3925,20200715:0900,10.7,24,0.2,24,-1.3,24,5.5,-,24,D
3925,20200716:0900,9.2,24,-2.2,24,-3.7,24,3.5,-,24,D
3925,20200717:0900,7.7,24,-1.6,24,-3.4,24,3.1,-,24,D
3925,20200718:0900,15,24,-2.4,24,-4.7,24,6.3,-,24,D
3925,20200719:0900,13.5,24,-1.3,24,-2.8,24,6.1,-,24,D
3925,20200720:0900,9.6,24,0,24,-1,24,4.8,-,24,D
3925,20200721:0900,16,24,7.3,24,8.9,24,11.7,-,24,D
3925,20200722:0900,13,24,3.3,24,1.7,24,8.2,-,24,D
3925,20200723:0900,11.2,24,3.6,24,2.3,24,7.4,-,24,D
3925,20200724:0900,7.5,24,-0.1,24,-1.4,24,3.7,-,24,D
3925,20200725:0900,9.5,24,0.7,24,0.7,24,5.1,-,24,D
3925,20200726:0900,11.1,24,1.6,24,1.2,24,6.4,-,24,D
3925,20200727:0900,13,24,1,24,-1.2,24,7,-,24,D
3925,20200728:0900,14.4,24,-2.2,24,-3.9,24,6.1,-,24,D
3925,20200729:0900,7.3,24,0.2,24,0.7,24,3.8,-,24,D
3925,20200730:0900,12.1,24,5.5,24,5.2,24,8.8,-,24,D
3925,20200731:0900,11.4,24,5.1,24,3.8,24,8.3,-,24,D
3925,20200801:0900,13.5,24,6.7,24,5.8,24,10.1,-,24,D
3925,20200802:0900,14.8,24,7.9,24,7.3,24,11.4,-,24,D
3925,20200803:0900,15.8,24,7.5,24,6.2,24,11.7,-,24,D
3925,20200804:0900,13.9,24,7.7,24,7.8,24,10.8,-,24,D
3925,20200805:0900,15.4,24,6.5,24,4.1,24,11,-,24,D
3925,20200806:0900,15.7,24,6.6,24,4.7,24,11.2,-,24,D
3925,20200807:0900,16.1,24,3.2,24,1.2,24,9.7,-,24,D
3925,20200808:0900,11.4,24,3.1,24,0,24,7.3,-,24,D
3925,20200809:0900,14.7,24,1.8,24,-1.3,24,8.3,-,24,D
3925,20200810:0900,12.6,24,3.8,24,2.7,24,8.2,-,24,D
3925,20200811:0900,14,24,4.5,24,1.7,24,9.3,-,24,D
3925,20200812:0900,13.2,24,1.3,24,0,24,7.3,-,24,D
3925,20200813:0900,14.8,24,0.7,24,-2.4,24,7.8,-,24,D
3925,20200814:0900,14.4,24,2.8,24,0.3,24,8.6,-,24,D
3925,20200815:0900,15.7,24,2.8,24,0.1,24,9.3,-,24,D
3925,20200816:0900,14.4,24,-1.9,24,-4.8,24,6.3,-,24,D
3925,20200817:0900,15.2,24,0.1,24,-1.4,24,7.7,-,24,D
3925,20200818:0900,14.9,24,-2.7,24,-5.4,24,6.1,-,24,D
3925,20200819:0900,13,24,-0.1,24,0.9,24,6.5,-,24,D
3925,20200820:0900,12.1,24,7.3,24,5.5,24,9.7,-,24,D
3925,20200821:0900,13.8,24,8.6,24,8.4,24,11.2,-,24,D
3925,20200822:0900,11.7,24,6.5,24,5.7,24,9.1,-,24,D
3925,20200823:0900,14.6,24,3.4,24,1.1,24,9,-,24,D
3925,20200824:0900,15,24,4.8,24,2.9,24,9.9,-,24,D
3925,20200825:0900,14.3,24,2.4,24,-0.7,24,8.4,-,24,D
3925,20200826:0900,12.9,24,-0.2,24,-2.7,24,6.4,-,24,D
3925,20200827:0900,12.7,24,2.4,24,-0.8,24,7.6,-,24,D
3925,20200828:0900,13.1,24,2.5,24,-0.7,24,7.8,-,24,D
3925,20200829:0900,13.4,24,4.1,24,3.3,24,8.8,-,24,D
3925,20200830:0900,13,24,4.3,24,1.4,24,8.7,-,24,D
3925,20200831:0900,14.5,24,5.9,24,3.2,24,10.2,-,24,D
3925,20200901:0900,15.7,24,8.3,24,6,24,12,-,24,D
3925,20200902:0900,12.5,24,3,24,1.1,24,7.8,-,24,D
3925,20200903:0900,13.2,24,-1.9,24,-5,24,5.7,-,24,D
3925,20200904:0900,15.2,24,0.6,24,0.7,24,7.9,-,24,D
3925,20200905:0900,12.7,24,5.2,24,4.2,24,9,-,24,D
3925,20200906:0900,15.2,24,8.6,24,9.6,24,11.9,-,24,D
3925,20200907:0900,15.1,24,3.8,24,1,24,9.5,-,24,D
3925,20200908:0900,17.8,24,0.4,24,-2.1,24,9.1,-,24,D
3925,20200909:0900,17,24,2.8,24,1.8,24,9.9,-,24,D
3925,20200910:0900,13,24,6.4,24,3.2,24,9.7,-,24,D
3925,20200911:0900,14.2,24,-0.8,24,-3.3,24,6.7,-,24,D
3925,20200912:0900,14,24,-2.7,24,-6.4,24,5.7,-,24,D
3925,20200913:0900,15.4,24,2.7,24,0.1,24,9.1,-,24,D
3925,20200914:0900,13.4,24,6.7,24,6.4,24,10.1,-,24,D
3925,20200915:0900,15.3,24,6.8,24,5.7,24,11.1,-,24,D
3925,20200916:0900,12,24,2.8,24,0.1,24,7.4,-,24,D
3925,20200917:0900,13.2,24,5.1,24,7.7,24,9.2,-,24,D
3925,20200918:0900,12.8,24,6.4,24,6.2,24,9.6,-,24,D
3925,20200919:0900,12,24,6.3,24,5.7,24,9.2,-,24,D
3925,20200920:0900,15.9,24,3.9,24,0.9,24,9.9,-,24,D
3925,20200921:0900,15.1,24,3,24,1.3,24,9.1,-,24,D
3925,20200922:0900,14.5,24,5.5,24,2,24,10,-,24,D
3925,20200923:0900,16.6,24,9.6,24,9.2,24,13.1,-,24,D
3925,20200924:0900,19.4,24,8.7,24,4,24,14.1,-,24,D
3925,20200925:0900,18.4,24,7.6,24,4.1,24,13,-,24,D
3925,20200926:0900,16.5,24,4.3,24,1.1,24,10.4,-,24,D
3925,20200927:0800,15.4,24,9.2,24,9.3,24,12.3,-,24,D
3925,20200928:0800,15.4,24,2.8,24,1.6,24,9.1,-,24,D
3925,20200929:0800,10.3,24,-0.3,24,-0.1,24,5,-,24,D
3925,20200930:0800,8.6,24,0.3,24,0.1,24,4.5,-,24,D
3925,20201001:0800,12,24,1.8,24,-0.3,24,6.9,-,24,D
3925,20201002:0800,13.7,24,2.5,24,-0.9,24,8.1,-,24,D
3925,20201003:0800,16.7,24,5.8,24,7.4,24,11.3,-,24,D
3925,20201004:0800,17,24,8.1,24,6.6,24,12.6,-,24,D
3925,20201005:0800,20.2,24,6.6,24,3.1,24,13.4,-,24,D
3925,20201006:0800,20.8,24,6.4,24,2.5,24,13.6,-,24,D
3925,20201007:0800,16.3,24,6.3,24,4.9,24,11.3,-,24,D
3925,20201008:0800,13.7,24,5.7,24,3.2,24,9.7,-,24,D
3925,20201009:0800,16,24,3.3,24,0.1,24,9.7,-,24,D
3925,20201010:0800,18.2,24,4.5,24,6,24,11.4,-,24,D
3925,20201011:0800,12,24,7.4,24,8.6,24,9.7,-,24,D
3925,20201012:0800,14.1,24,10.8,24,8,24,12.5,-,24,D
3925,20201013:0800,19.8,24,8,24,5.1,24,13.9,-,24,D
3925,20201014:0800,17.2,24,6.9,24,3.5,24,12.1,-,24,D
3925,20201015:0800,16.2,24,0.4,24,-3.6,24,8.3,-,24,D
3925,20201016:0800,14.5,24,-1.6,24,-4.2,24,6.5,-,24,D
3925,20201017:0800,15.3,24,4.6,24,6.9,24,10,-,24,D
3925,20201018:0800,15.7,24,7.5,24,8.7,24,11.6,-,24,D
3925,20201019:0800,17.6,24,10.1,24,10.4,24,13.9,-,24,D
3925,20201020:0800,15.1,24,7,24,4.4,24,11.1,-,24,D
3925,20201021:0800,17.1,24,4.1,24,1.2,24,10.6,-,24,D
3925,20201022:0800,18.2,24,3.1,24,0.7,24,10.7,-,24,D
3925,20201023:0800,21,24,4.8,24,0.1,24,12.9,-,24,D
3925,20201024:0800,21,24,3.3,24,0.1,24,12.2,-,24,D
3925,20201025:0800,23.6,24,5.9,24,6,24,14.8,-,24,D
3925,20201026:0800,22.2,24,15,24,14.6,24,18.6,-,24,D
3925,20201027:0800,17.6,24,11.7,24,12.7,24,14.7,-,24,D
3925,20201028:0800,16.6,24,8.2,24,7.7,24,12.4,-,24,D
3925,20201029:0800,19.6,24,10.4,24,12.1,24,15,-,24,D
3925,20201030:0800,15.9,24,12.6,24,13.2,24,14.3,-,24,D
3925,20201031:0800,19.1,24,14.3,24,13.3,24,16.7,-,24,D
3925,20201101:0800,18.9,24,8.6,24,7.2,24,13.8,-,24,D
3925,20201102:0800,18,24,8.1,24,6.7,24,13.1,-,24,D
3925,20201103:0800,15.5,24,9.8,24,9.6,24,12.7,-,24,D
3925,20201104:0800,16.2,24,10.2,24,11.7,24,13.2,-,24,D
3925,20201105:0800,21.8,24,15.1,24,14.3,24,18.5,-,24,D
3925,20201106:0800,19,24,12.6,24,10.8,24,15.8,-,24,D
3925,20201107:0800,19.3,24,13,24,11.9,24,16.2,-,24,D
3925,20201108:0800,17.4,24,9.1,24,9.5,24,13.3,-,24,D
3925,20201109:0800,15.3,24,2.4,24,-1,24,8.9,-,24,D
3925,20201110:0800,18.2,24,5.2,24,1,24,11.7,-,24,D
