"site","base_temperature","period_start","period_end","p_value","slope","conf_low_90","conf_high_90","z","trend_method","n","note","s","var_s","tau","alternative","trend_likelihood","lat","lon","region","unit","conf_low_66","conf_high_66"
"Auckland (Auckland)","10","1972","2022",1.0973454845206395e-6,8.126086956521723,5.776595744680851,10.681481481481468,4.873326667609698,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.00813,174.78873,"Auckland","Degree Celsius",6.700000000000002,9.516279069767442
"Auckland (Auckland)","5","1972","2022",1.0105592331516629e-6,8.537500000000023,6.2149999999999865,11.424999999999992,4.889571089835064,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.00813,174.78873,"Auckland","Degree Celsius",7.374074074074071,10.174999999999983
"Blenheim (Marlborough)","10","1972","2022",0.017707148764317053,3.1457142857142832,1.0142857142857093,5.124242424242421,2.3716856449033865,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.52133,173.86439,"Marlborough","Degree Celsius",1.9571428571428555,4.324242424242426
"Blenheim (Marlborough)","5","1972","2022",0.0022584868140462055,4.6823529411764655,2.3000000000000305,7.333333333333333,3.053951378368744,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.52133,173.86439,"Marlborough","Degree Celsius",3.58181818181819,6.291428571428579
"Christchurch (Canterbury)","10","1972","2022",0.19653930720963775,1.4741935483870983,-0.5250000000000341,3.6944444444444446,1.2914741670969176,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-43.493,172.537,"Canterbury","Degree Celsius",0.2810810810810774,2.7096774193548385
"Christchurch (Canterbury)","5","1972","2022",0.08218382678473435,3.1088235294117594,0.11818181818180716,5.89411764705884,1.7381531781141255,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-43.493,172.537,"Canterbury","Degree Celsius",1.4437499999999943,4.744827586206909
"Dannevirke (Manawatū-Whanganui)","10","1972","2022",0.0031106913261891187,5.643749999999997,2.3333333333333335,8.631250000000001,2.956582369957723,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.21,176.109,"Manawatū-Whanganui","Degree Celsius",3.8645161290322565,7.25333333333333
"Dannevirke (Manawatū-Whanganui)","5","1972","2022",0.007005681102413302,7.139285714285718,3.2999999999999545,10.870000000000005,2.6965740894106998,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.21,176.109,"Manawatū-Whanganui","Degree Celsius",5.1500000000000155,9.407894736842104
"Dunedin (Otago)","10","1972","2022",0.35448128530972706,0.9666666666666667,-0.8166666666666629,2.980645161290318,0.9259320668458426,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-45.90129,170.5147,"Otago","Degree Celsius",-0.03333333333333333,2.1704545454545454
"Dunedin (Otago)","5","1972","2022",0.11888647256334975,2.6795454545454565,-0.22093023255813954,5.10333333333333,1.5594645336351034,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-45.90129,170.5147,"Otago","Degree Celsius",1.0976190476190564,4.042105263157892
"Gisborne (Gisborne)","10","1972","2022",1.9396190178586516e-6,7.648780487804881,5.350000000000136,9.7,4.759615712032138,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.6586,177.9851,"Gisborne","Degree Celsius",6.399999999999993,8.919999999999982
"Gisborne (Gisborne)","5","1972","2022",6.923381203039701e-8,9.794736842105259,7.388888888888889,12.04000000000001,5.3931481788213995,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.6586,177.9851,"Gisborne","Degree Celsius",8.428571428571493,11.093333333333325
"Gore (Southland)","10","1972","2022",0.004949764052204732,3.046666666666666,1.3488372093023255,4.92222222222223,2.8102850449882593,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-46.115,168.887,"Southland","Degree Celsius",2.0971428571428596,4.180000000000003
"Gore (Southland)","5","1972","2022",9.672594529454122e-5,7.030769230769203,4.191666666666663,9.120588235294115,3.8986613340877585,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-46.115,168.887,"Southland","Degree Celsius",5.365217391304352,8.374074074074072
"Hamilton (Waikato)","10","1972","2022",0.0012981175440356157,4.9375,2.6200000000000045,7.158823529411768,3.2163956006224006,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.86088,175.33175,"Waikato","Degree Celsius",3.6624999999999943,6.291666666666657
"Hamilton (Waikato)","5","1972","2022",3.743605419187779e-4,5.876923076923084,3.5666666666667073,8.682978723404254,3.5575284673550795,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.86088,175.33175,"Waikato","Degree Celsius",4.450000000000017,7.490909090909099
"Hokitika (West Coast)","10","1972","2022",0.00364037397985587,4.155555555555553,1.85,6.169230769230769,2.907751578340453,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-42.71228,170.98428,"West Coast","Degree Celsius",2.858974358974359,5.225000000000004
"Hokitika (West Coast)","5","1972","2022",8.681275504386233e-4,6.010869565217392,3.2333333333333334,9.209090909090905,3.33010655619996,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-42.71228,170.98428,"West Coast","Degree Celsius",4.333333333333333,7.9750000000000085
"Invercargill (Southland)","10","1972","2022",5.735626910269289e-4,3.680487804878048,2.068292682926828,5.352631578947366,3.44381751177752,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-46.41741,168.33052,"Southland","Degree Celsius",2.842500000000001,4.627777777777776
"Invercargill (Southland)","5","1972","2022",3.202431694306819e-5,6.410810810810812,4.259999999999991,8.753571428571433,4.158572089693609,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-46.41741,168.33052,"Southland","Degree Celsius",5.166666666666667,7.7249999999999845
"Kerikeri (Northland)","10","1972","2022",2.5843383079026386e-5,6.925000000000011,4.642857142857154,9.299999999999997,4.207305356369706,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-35.183,173.926,"Northland","Degree Celsius",5.86071428571429,8.145454545454538
"Kerikeri (Northland)","5","1972","2022",1.6715788396330494e-5,7.297619047619037,5.037142857142863,9.568181818181818,4.3047718897219,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-35.183,173.926,"Northland","Degree Celsius",6.223076923076919,8.4
"Lake Tekapo (Canterbury)","10","1972","2022",0.7824288819388854,-0.2692307692307736,-2.0650000000000004,1.8977777777777773,-0.27615517783121624,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.002,170.441,"Canterbury","Degree Celsius",-1.4812500000000028,0.7409090909090889
"Lake Tekapo (Canterbury)","5","1972","2022",0.9223559101771722,0.2310344827586144,-2.2588235294117567,2.9678571428571394,0.09746653335219396,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.002,170.441,"Canterbury","Degree Celsius",-1.1812500000000057,1.8103448275862069
"Masterton (Wellington)","10","1972","2022",0.001226520105977113,5.222222222222222,2.697142857142853,7.637499999999989,3.2326400228477663,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.957,175.707,"Wellington","Degree Celsius",3.838709677419362,6.6678571428571445
"Masterton (Wellington)","5","1972","2022",5.400511589898478e-4,6.781818181818173,3.6818181818181817,9.592307692307678,3.4600619340028858,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-40.957,175.707,"Wellington","Degree Celsius",4.73513513513513,8.347826086956502
"Milford Sound (Southland)","10","1972","2022",0.004949764052204732,3.7666666666666706,1.495999999999999,5.614634146341465,2.8102850449882593,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.67384,167.92406,"Southland","Degree Celsius",2.6136363636363638,4.937500000000003
"Milford Sound (Southland)","5","1972","2022",3.306560003658945e-4,6.582608695652168,3.7916666666666665,9.612500000000004,3.590017311805811,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.67384,167.92406,"Southland","Degree Celsius",4.763636363636331,8.405263157894739
"Napier (Hawke's Bay)","10","1972","2022",7.064239286921176e-4,4.679999999999995,2.519999999999997,6.584999999999991,3.387073758990029,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.49846,176.91189,"Hawke's Bay","Degree Celsius",3.5,5.7363636363636346
"Napier (Hawke's Bay)","5","1972","2022",9.043952681829058e-5,6.262500000000017,3.9642857142857144,8.149999999999986,3.914905756313124,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.49846,176.91189,"Hawke's Bay","Degree Celsius",4.992857142857182,7.344444444444384
"Nelson (Nelson)","10","1972","2022",4.014693326360572e-7,7.1891891891891895,5.209090909090926,9.23846153846154,5.068259734314086,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.299,173.226,"Nelson","Degree Celsius",6.079310344827585,8.426666666666673
"Nelson (Nelson)","5","1972","2022",3.652923249779654e-8,10.028571428571425,7.533333333333303,12.51612903225808,5.506859134398959,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.299,173.226,"Nelson","Degree Celsius",8.737500000000011,11.349999999999909
"New Plymouth (Taranaki)","10","1972","2022",4.363988264497142e-4,5.225000000000011,3.19230769230771,7.704545454545465,3.5170334236035554,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.0079,174.18382,"Taranaki","Degree Celsius",4.059375000000003,6.450000000000017
"New Plymouth (Taranaki)","5","1972","2022",1.4400003253842644e-4,6.04,3.746511627906985,8.371428571428494,3.8011948007355643,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.0079,174.18382,"Taranaki","Degree Celsius",4.775,7.282857142857146
"Queenstown (Otago)","10","1972","2022",9.201686546421586e-4,3.982857142857142,1.9518518518518535,5.734782608695656,3.313862133974595,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-45.01758,168.74005,"Otago","Degree Celsius",2.9400000000000017,4.981250000000003
"Queenstown (Otago)","5","1972","2022",1.2623847503269307e-4,5.753124999999997,3.2718750000000014,8.84583333333334,3.8336836451862957,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-45.01758,168.74005,"Otago","Degree Celsius",4.435897435897436,7.50285714285714
"Reefton (West Coast)","10","1972","2022",3.959353748317561e-5,5.920000000000002,3.6250000000000284,8.625,4.109838823017512,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-42.11578,171.86014,"West Coast","Degree Celsius",4.764444444444441,7.5806451612903265
"Reefton (West Coast)","5","1972","2022",7.344219067508802e-6,8.463636363636356,6.100000000000002,11.597560975609756,4.483460534200922,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-42.11578,171.86014,"West Coast","Degree Celsius",6.89333333333334,10.066666666666672
"Rotorua (Bay of Plenty)","10","1972","2022",0.029499033012745347,3.1441176470588195,0.6846153846153828,5.556756756756754,2.1767525781989985,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.10595,176.31485,"Bay of Plenty","Degree Celsius",1.6538461538461537,4.409302325581399
"Rotorua (Bay of Plenty)","5","1972","2022",0.023440875596689777,3.822222222222232,1.213513513513516,6.599999999999996,2.266171651698365,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.10595,176.31485,"Bay of Plenty","Degree Celsius",2.5176470588235267,5.577777777777775
"Tara Hills (Canterbury)","10","1972","2022",0.01731797788718084,2.671428571428578,0.9047619047619102,4.395555555555557,2.3798863582352,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.52612,169.88948,"Canterbury","Degree Celsius",1.7029411764705908,3.924999999999997
"Tara Hills (Canterbury)","5","1972","2022",7.721344112959865e-4,5.4274999999999975,2.9375,7.94473684210526,3.3625954006506915,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.52612,169.88948,"Canterbury","Degree Celsius",3.6999999999999695,6.882758620689652
"Taumarunui (Manawatū-Whanganui)","10","1972","2022",0.5053974787823221,1.2900000000000091,-1.9714285714285649,4.218604651162793,0.6660213112399921,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.88784,175.25981,"Manawatū-Whanganui","Degree Celsius",-0.682142857142862,3.102439024390245
"Taumarunui (Manawatū-Whanganui)","5","1972","2022",0.26234527414859454,2.9400000000000093,-0.9148148148148081,6.375555555555557,1.1208651335502304,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.88784,175.25981,"Manawatū-Whanganui","Degree Celsius",0.466666666666697,4.988888888888899
"Taupō (Waikato)","10","1972","2022",0.029499033012745347,3.1565217391304405,0.9454545454545469,6,2.1767525781989985,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.74263,176.08104,"Waikato","Degree Celsius",1.974999999999966,4.761111111111114
"Taupō (Waikato)","5","1972","2022",0.017707148764317053,4.5625,1.4904761904761992,8.246153846153833,2.3716856449033865,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-38.74263,176.08104,"Waikato","Degree Celsius",2.706666666666691,6.799999999999985
"Tauranga (Bay of Plenty)","10","1972","2022",1.4028916415031338e-6,8.356097560975607,6.193548387096774,11.246874999999996,4.824593400933601,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.673,176.196,"Bay of Plenty","Degree Celsius",7.240909090909099,10.028571428571436
"Tauranga (Bay of Plenty)","5","1972","2022",1.4028916415031338e-6,9.45434782608696,6.73333333333331,12.155263157894739,4.824593400933601,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-37.673,176.196,"Bay of Plenty","Degree Celsius",8.085714285714285,10.948387096774182
"Timaru (Canterbury)","10","1972","2022",0.3138606891117794,1.11276595744681,-0.6550000000000011,2.9833333333333294,1.007154177972671,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.30517,171.22141,"Canterbury","Degree Celsius",0.07142857142857142,2.209090909090915
"Timaru (Canterbury)","5","1972","2022",0.11888647256334975,2.127272727272694,-0.2150000000000091,4.933333333333394,1.5594645336351034,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-44.30517,171.22141,"Canterbury","Degree Celsius",0.6666666666666666,3.533333333333303
"Waiouru (Manawatū-Whanganui)","10","1972","2022",0.004705541443797013,3.491666666666665,1.525,5.6480000000000015,2.826529467213625,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.46249,175.66283,"Manawatū-Whanganui","Degree Celsius",2.346428571428573,4.688235294117643
"Waiouru (Manawatū-Whanganui)","5","1972","2022",0.003833988610230563,6.073170731707317,2.780000000000003,9.54042553191489,2.8915071561150874,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.46249,175.66283,"Manawatū-Whanganui","Degree Celsius",3.9352941176470644,7.88518518518518
"Wellington (Wellington)","10","1972","2022",0.002383856501785575,4.399999999999996,2.328571428571422,6.428571428571429,3.0377069561433783,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.285,174.768,"Wellington","Degree Celsius",3.117391304347828,5.762162162162164
"Wellington (Wellington)","5","1972","2022",3.306560003658945e-4,6.2722222222222275,3.6875,8.509999999999945,3.590017311805811,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-41.285,174.768,"Wellington","Degree Celsius",4.764705882352941,7.620930232558135
"Whanganui (Manawatū-Whanganui)","10","1972","2022",0.001717525046534292,5.205000000000001,2.8057142857142807,8.016666666666664,3.1351734894955725,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.93704,175.04509,"Manawatū-Whanganui","Degree Celsius",3.8047619047618984,6.7450000000000045
"Whanganui (Manawatū-Whanganui)","5","1972","2022",4.784306223998795e-4,6.608823529411772,3.8621621621621647,9.678947368421058,3.4925507784536167,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-39.93704,175.04509,"Manawatū-Whanganui","Degree Celsius",5.1875,8.544117647058824
"Whangaparāoa (Auckland)","10","1972","2022",1.0342336020152018e-4,6.918749999999989,4.467647058823538,9.626666666666665,3.882416911862393,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-36.606,174.835,"Auckland","Degree Celsius",5.472413793103442,8.48709677419356
"Whangaparāoa (Auckland)","5","1972","2022",1.3484399019535968e-4,7.019047619047602,4.377777777777788,9.855555555555586,3.81743922296093,"Sen's slope",51,NA,NA,NA,NA,NA,NA,-36.606,174.835,"Auckland","Degree Celsius",5.450000000000004,8.56190476190476
